Tool Name,Story,Works with,No.of actions,Author
AWS,Create an API to manage indicators of compromise,AWS,58,Conor Dunne
AWS,Request and approve access to new tools with an audit trail,"AWS, GitHub, Jira Software, Okta, Slack",31,Michael Tolan
AWS,Grant temporary console access to AWS services with Tines pages,AWS,20,Michael Tolan
AWS,Roll back AWS EC2 instances to previous snapshots using tags,AWS,62,Conor Dunne
AWS,Detect and Enrich Sysdig Alerts with Risky User with Greynoise and Deny User from AWS Console Login,"AWS, GreyNoise, Sysdig",11,Manuel Boira
AWS,"Receive New Relic alerts, create Tines cases, and restart AWS instances","AWS, New Relic",12,null
AWS,Identify and resolve false positive AWS alerts in Orca,"AWS, Orca Security, Slack",23,null
AWS,Get EC2 Security Groups for an instance,AWS,17,Michael Tolan
AWS,Detect and remediate malware issues in Wiz with SentinelOne and The Hive,"AWS, Jira Software, SentinelOne, Wiz",22,null
AWS,Identify and remediate high AWS EC2 Disk Usage with Elastic Observability and document with Tines cases,"AWS, Elastic, Tines",9,null
AWS,Manage AWS Macie findings with Tines cases,"AWS, Tines",17,Conor Dunne
AWS,Record container vulnerabilities from AWS Inspector in GitHub,"AWS, GitHub",8,Liam Malone
AWS,Update CrowdStrike Real Time Response script from AWS S3,"AWS, CrowdStrike",7,null
AWS,Reimage AWS instance,AWS,25,Shaun Finn
AWS,Disable AWS User from Hunters Alert with Jira prompt,"AWS, Hunters SOC Platform, Jira Software",13,null
AWS,Request and approve temporary AWS S3 access with pre-signed URLs,"AWS, Tines",23,null
AWS,Assess potential AWS IAM security vulnerabilities with OpenAI,"AWS, OpenAI",15,null
AWS,Remediate vulnerabilities identified by AWS Inspector v2,"AWS, Jira Software",16,null
AWS,Send Google Workspace security logs to AWS S3,"AWS, Google",8,Michael Tolan
AWS,Isolate & remediate AWS EC2 instance based on IOC,"AWS, Jira Software, Slack",23,null
AWS,Scan an invoice or receipt with AWS Textract,AWS,24,null
AWS,Create and manage malware labs using Terraform Cloud,"AWS, HashiCorp Terraform",47,Conor Dunne
AWS,Import Tines Story from AWS S3,AWS,5,null
AWS,Provision AWS and Vault access via Okta,"AWS, HashiCorp, Okta",25,Zach Perry
AWS,Regularly update insecure AWS EC2 security groups,AWS,10,Michael Tolan
AWS,Find & remediate public AWS S3 bucket access with Anecdotes,"Anecdotes.ai, AWS",16,null
AWS,"Remove a user account in Microsoft Entra ID, BambooHR, AWS, and Slack","AWS, BambooHR, Jira Software, Microsoft Azure, Slack",20,Michael Tolan
AWS,Routinely sync Jira issue details with DynamoDB,"AWS, Jira Software",10,Michael Tolan
AWS,Send AWS EventBridge events to Slack,"AWS, Slack",7,Conor Dunne
AWS,Manage Okta user groups and create Jira tickets via Slack,"AWS, Jira Software, Knowbe4, Okta, Slack",140,Sandeep Kumar
AWS,Execute commands on EC2 instances using AWS Systems Manager,AWS,26,Conor Dunne
AWS,Give kudos to coworkers using a Slack bot,"AWS, Slack",28,Adam Maksimuk
AWS,Verify Route 53 A records use active Elastic IPs,AWS,17,Michael Tolan
AWS,Generate an SBOM with AWS Inspector and add to GitHub,"AWS, GitHub",11,Liam Malone
AWS,Receive and enrich cloud root login notifications in AWS using Tines and CloudTrail logs,AWS,14,null
AWS,Leverage AWS Bedrock for investigation help in Tines cases,AWS,15,Adam Maksimuk
AWS,Search for and remediate inactive AWS accounts from JupiterOne,"AWS, Jira Software, JupiterOne, Slack",14,null
AWS,Find & remediate public AWS S3 buckets with Veza and add evidence to Drata controls,"AWS, Drata, Jira Software, Veza",20,null
AWS,Send Slack notifications when AWS budgets are exceeded and take action,"AWS, Slack",10,Michael Tolan
AWS,Use ChatGPT for triaging with internal playbooks,"AWS, Google",32,Matt Houston
AWS,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","AWS, GreyNoise, Jira Software, Kubernetes, Sysdig, Tines",40,Manuel Boira
AWS,Create and modify EC2 Security Groups,AWS,7,Michael Tolan
AWS,Search for & remediate public AWS S3 buckets with Veza,"AWS, Jira Software, Veza",13,null
AWS,Track critical alerts for exposed AWS Keys,AWS,27,Jaroslaw Wojciechowski
AWS,Streamline AWS Elastic Container Registry vulnerability monitoring with Tines Cases,AWS,8,null
AWS,Register and run container tasks in AWS ECS,AWS,12,null
AWS,Grant temporary programmatic AWS access with Tines pages,AWS,26,Michael Tolan
Tines,Escalate a case between groups with an audit trail,Tines,11,Nick Winninger
Tines,Summarize a case in Tines with the AI Agent Action,Tines,5,Nick Winninger
Tines,Investigate AWS issues with CLI data using agents,"AWS, Tines",14,Michael Tolan
Tines,Enrich cases with Azure Log Analytics using agents,"Microsoft Azure, Tines",13,Michael Tolan
Tines,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
Tines,Troubleshoot broken Tines actions using an AI Agent chatbot,"Microsoft Teams, Slack, Tavily, Tines",14,Michael Tolan
Tines,Restricting User Access and Patching Vulnerable Devices with Kandji,"Kandji, Okta, Slack, Tines",33,Megan Elsayed
Tines,Triage Material Security cases via Slack,"Jira Software, Material Security, Slack, Tines, VirusTotal",27,Shasheen Bandodkar
Tines,Manage Qualys vulnerabilities using Jira Service Management and Slack,"Jamf Pro, Jira Service Management, Qualys, Slack, Tines",81,Caleb Williams
Tines,Create and use temporary credentials in AWS using Assume Role,"AWS, Tines",4,Kelsey Salman
Tines,Get records and combine associated artifacts in Tines,Tines,17,Eoin Magner
Tines,Backup Tines tenant data to AWS S3,"AWS, Tines",41,Haley Kidd
Tines,Create Tines case from the Risk Register,Tines,4,Conor Dunne
Tines,Generate a Google service account credential,"Google, Tines",7,Aaron Sandow
Tines,"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
Tines,Grant temporary application access,"Jira Software, Okta, Slack, Tines",30,Shaun Finn
Tines,Explore Tines Cases with provided sample data,Tines,22,null
Tines,Describe a Tines Story with Tines AI,Tines,6,Michael Tolan
Tines,Monitor action failures in Tines and notify via Slack,"Slack, Tines",14,Michael Tolan
Tines,Analyze and triage suspicious emails across tools and Tines cases,"CrowdStrike, EmailRep, Tines, URLScan.io, VirusTotal",65,Michael Tolan
Tines,"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","Elastic, Google, GreyNoise, Slack, Tines",10,Michael Tolan
Tines,Elastic SIEM to Slack alert enrichment,"Elastic, Slack, Tines",106,Aaron Jewitt
Tines,Send Tines case notifications to subscribers in Slack or Teams,"Microsoft Teams, Slack, Tines",26,Michael Tolan
Tines,Create just-in-time access requests and manage users,Tines,33,null
Tines,Ingest Tines audit logs into Datadog,"DataDog, Tines",7,Aron Day
Tines,Submit and analyze PDF for IOCs with Tines,"IOC Parser, Tines",14,Michael Tolan
Tines,"Retrieve user, device, and vulnerability data in Axonius","Axonius, Tines",29,null
Tines,Detect and remediate high AWS EC2 CPU usage with Elastic Observability and document with Tines cases,"AWS, Elastic, Tines",27,null
Tines,Utilize Tines prompts in Slack without opening a new browser tab,"Slack, Tines",8,null
Tines,Create and update Tines Cases from questions in Slack,"Slack, Tines",72,Lasse Høgsholt
Tines,Create a risk register using Tines records,Tines,12,Conor Dunne
Tines,Export Tines records to OneDrive,"Microsoft OneDrive, Tines",4,Michael Tolan
Tines,Run a simulated phishing attack,"BambooHR, GitHub, Tines",22,Conor Dunne
Tines,Transfer cases between Tines case groups based on criteria,Tines,28,Michael Tolan
Tines,Capture product feedback and post it to Slack,"Slack, Tines",23,Tines
Tines,Analyze attack surface for an organization with Criminal IP,"Criminal IP, Tines",22,null
Tines,Monitor Tines audit logs for action changes and send Slack alerts,"Slack, Tines",7,null
Tines,Ingest Tines audit logs into Sumo Logic,"Sumo Logic, Tines",7,Aron Day
Tines,Monitor and remediate inactive Kandji devices with Tines Cases,"Kandji, Tines",23,Michael Tolan
Tines,Prompt a user for a response through email,Tines,9,null
Tines,Backup Tines Stories to GitLab and notify Slack,"GitLab, Slack, Tines",45,Michael Tolan
Tines,Sync Tines case comments with Hunters leads,"Hunters SOC Platform, Tines",7,null
Tines,Lookup user in multiple platforms,"BambooHR, Okta, Slack, Tines",11,Michael Tolan
Tines,Monitor a host's resources using playbooks in Ansible Tower,"Ansible, Tines",14,Conor Dunne
Tines,Handover Oncalls in Opsgenie with Tines Cases,"OpsGenie, Slack, Tines",17,null
Tines,Monitor and patch Tanium machines via Tines,"Tanium, Tines",31,null
Tines,Rotate AWS IAM access keys and update Tines credentials,"AWS, Slack, Tines",16,Michael Tolan
Tines,Sign up for a 24-hour relay using Tines Pages and Records,Tines,11,null
Tines,Real-Time API Threat Detection and Mitigation with Traceable.ai and AWS WAF,"AWS, Tines, Traceable.ai",14,null
Tines,Notify recipient of quarantined email and create Tines case if opened,"Sublime Security, Tines",5,Michael Tolan
Tines,Manage long-running jobs and check job status in Workbench,Tines,16,null
Tines,Process SpyCloud breach data and generate a case in Tines,"SpyCloud, Tines",22,Tines
Tines,Investigate and remediate multiple denied MFA push requests in Okta,"IPQualityScore, Microsoft Teams, Okta, Tines, VirusTotal",31,Claudia Kinsella
Tines,Track Okta Active Directory agents using Records and Microsoft Teams,"Microsoft Teams, Okta, Tines",11,Taylor Rainwater
Tines,Work with Tines data using the Tines API,Tines,49,null
Tines,Manage Salesforce lead capture with Tines pages and cases,"Salesforce, Tines",46,Conor Dunne
Tines,Backup and download logs from AWS S3 warm storage,"Google, Okta, Tines",45,Conor Dunne
Tines,Create and manage temporary email addresses with Tines,Tines,21,Michael Tolan
Tines,Paginate over the Tines API using multiple methods,Tines,16,Conor Dunne
Tines,Monitor Tines actions with Records,Tines,9,Charles Himmelein
Tines,Send SMS with Twilio if assigned to a Case in Tines,"Microsoft, Tines, Twilio",15,Michael Tolan
Tines,Export Splunk SOAR cases to Tines,"Splunk, Tines",26,null
Tines,Create and manage an Email API through Tines,"Google, ServiceNow, Tines",33,null
Tines,Write descriptions for Tines stories using AI,Tines,18,Tyler Talaga
Tines,Escalate cases to emergency resources with Twilio,"Tines, Twilio",29,Michael Tolan
Tines,Identify and remediate high AWS EC2 Disk Usage with Elastic Observability and document with Tines cases,"AWS, Elastic, Tines",9,null
Tines,Manage AWS Macie findings with Tines cases,"AWS, Tines",17,Conor Dunne
Tines,Scan Okta logins with Spur for proxies and VPNs and raise a case in Tines,"Okta, Spur, Tines",20,Michael Tolan
Tines,Generate a Tines case incident response timeline,"Notion, Tines",18,Conor Dunne
Tines,Request and approve temporary AWS S3 access with pre-signed URLs,"AWS, Tines",23,null
Tines,Export Tines story time saved time series data to Google Sheets,"Google, Tines",17,null
Tines,Detect unusual user activity with Material Security,"Material Security, Slack, Tines",11,Material Security
Tines,Ingest Tines audit logs into Grafana Loki,"Grafana, Tines",8,Aron Day
Tines,Backup Tines Stories to Azure Blob Storage,"Microsoft Azure, Tines",25,Michael Tolan
Tines,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","AWS, GreyNoise, Jira Software, Kubernetes, Sysdig, Tines",40,Manuel Boira
Tines,Notify and assign training based on Harmonic Security alerts,"Harmonic Security, Knowbe4, Notion, Slack, Tines",17,Harmonic Security
Tines,Close Tines Cases if JupiterOne vulnerabilities are resolved,"JupiterOne, Tines",14,null
Tines,Monitor Intercom for sensitive content with Nightfall and record in Tines,"Intercom, Nightfall AI, Tines",7,Conor Dunne
Tines,Monitor RSS feed for keywords and send to Slack,"Slack, Tines",13,Nick Page
Tines,Verify user identities using Nametag and Tines pages,Tines,9,Andy Caird
Tines,Sync Intercom conversations with Tines cases,"Intercom, Tines",26,null
Tines,Ingest Tines audit logs into Snowflake,"Snowflake, Tines",13,Michael Tolan
Tines,Sync Github file with a Tines Resource,"GitHub, Tines",13,Nick Page
Tines,Analyze Tines action failures with AI and get remediation advice,Tines,16,Michael Tolan
Tines,Update user in Tines,Tines,6,Michael Tolan
Google,Offboard user from Okta and Google using Pages and Records,"Gmail, Google, Okta",72,Lucas Cantor
Google,Generate a Google service account credential,"Google, Tines",7,Aaron Sandow
Google,Triage Elastic Security alerts and block malicious IPs,"Elastic, Google, GreyNoise",17,null
Google,Offboard employees using BambooHR,"BambooHR, Google, Okta, Slack",18,null
Google,Add new employees to BambooHR and manage system access,"BambooHR, Google, Microsoft Azure, Okta, Slack",17,Michael Tolan
Google,Onboard employees & grant specialized access to specific tools,"GitHub, Google, Zoom",21,null
Google,"Disable accounts in Google Workspace, GitHub, and Okta","GitHub, Google, Jira Software, Okta",23,Aaron Sandow
Google,Triage new alerts in Google Alert Center with human oversight,"Google, Jira Software, Slack",19,null
Google,"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","Elastic, Google, GreyNoise, Slack, Tines",10,Michael Tolan
Google,Move Google Docs and Calendar to another user in Google Workspace,Google,17,null
Google,Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"BambooHR, Google, Microsoft, Microsoft Teams, Okta",11,null
Google,Check mailboxes for external autoforward rules and filters in Google Workspace,Google,28,null
Google,Create Jira issues for new alerts from Google Alert Center,"Google, Jira Software",8,null
Google,Add devices in Kandji to Google Sheets,"Google, Kandji",7,Michael Tolan
Google,Implement data loss prevention policies,"Google, Panther, Slack",35,null
Google,Create Zendesk Ticket via Google Forms,"Google, Zendesk",8,null
Google,Move security logs from Google Workspace to Elastic Security,"Elastic, Google",4,null
Google,Retrieve & deduplicate Google Chronicle alerts,Google,5,null
Google,Make a query in Google BigQuery,Google,12,null
Google,Organize new form responses in Google Sheets,"Google, Google Sheets",3,null
Google,Backup Tines stories to Google Cloud Storage,"Google, Google Cloud Storage",24,Michael Tolan
Google,Copy & update a Google Docs template in a shared folder,Google,8,null
Google,Onboard employees with flexible forms,"GitHub, Google, Zoom",14,null
Google,Add suspicious domains to Google Chronicle reference list,"Google, VirusTotal",5,null
Google,Create instant Google Meets via Slackbot,"Google, Slack",5,Eoin Magner
Google,Take out the trash in Gmail,Google,16,null
Google,Create Google Calendar events from Notion database,"Google, Notion",9,Jesse Johnson
Google,Audit & enforce compliance on endpoints with SimpleMDM,"BambooHR, Google, Slack",49,null
Google,Add expense receipt photos to Navan,Google,5,null
Google,Add video conferencing and meeting notes to new Google Calendar events,"Google, Google Calendar, Zoom",22,null
Google,Update Excel files in OneDrive through email attachments and Pages,"Google, Microsoft OneDrive",26,null
Google,Remove public access permissions in Google Drive,"Google, Google Drive",12,Michael Tolan
Google,Create email filters for a user in Gmail,"Gmail, Google",8,Conor Dunne
Google,Triage Google Chronicle cases from Slack,"Google, Slack",43,Sakil Khan
Google,Reset Google account password and notify via Slack,"Google, Slack",13,Conor Dunne
Google,Create an identity federation between GCP and AWS,"AWS, Google",5,Marcus Hallberg
Google,Send Google Workspace security logs to ELK,"Elastic, Google",6,null
Google,Backup and download logs from AWS S3 warm storage,"Google, Okta, Tines",45,Conor Dunne
Google,Manage Google Calendar swiftly when unexpected alerts trigger,"Google, Slack",42,null
Google,Create and manage an Email API through Tines,"Google, ServiceNow, Tines",33,null
Google,Build a software report in runZero enriched with software end of life dates,"Google, runZero",11,Conor Dunne
Google,Offboard employees using HiBob,"Google, HiBob, Okta, Slack",18,null
Google,Send simple messages or cards to Google Spaces,Google,20,null
Google,Save Tines Story in Google Cloud Platform,Google,5,null
Google,Create or suspend role in Google,Google,18,null
Google,Perform Google Workspace access review,"Google, Slack",11,Rosie Halpin
Google,Retrieve a directory from an endpoint using CrowdStrike and save to Google Drive,"CrowdStrike, Google, Google Drive",22,Conor Dunne
Google,Upload a file to Google Cloud Storage,"Google, Google Cloud Storage",7,Michael Tolan
Google,Send Google Workspace security logs to AWS S3,"AWS, Google",8,Michael Tolan
Google,Discover inactive Service Accounts in Google Cloud,"Google, Jira Software, Slack, Wiz",13,null
Google,Recover deleted emails in Gmail,Google,12,null
Google,Export Tines story time saved time series data to Google Sheets,"Google, Tines",17,null
Google,Create custom Gmail filters from Sublime Security findings,"Gmail, Google, Sublime Security",14,Conor Dunne
Google,Run Javascript with Google Cloud Functions,Google,2,null
Google,Create and populate a Google file,"Google, Google Sheets",17,null
Google,Create versioned backups on Google Drive files using Box,"Google, Google Drive",13,Conor Dunne
Google,Manage Elasticsearch and GKE clusters via Slack bot,"Argo Workflows, Google, Kubernetes",41,Christopher Cutajar
Google,Distribute IoC's using Pub/Sub in Google Cloud,Google,8,Conor Dunne
Google,Retrieve overly permissive Google Cloud firewall rules with Wiz,"Google, Wiz",11,Conor Dunne
Google,Retrieve Google Security Command Center findings and create issues in Jira,"Google, Jira Software",12,Conor Dunne
Google,Respond to publicly exposed files in Google Drive with Reco,"Google, Reco",30,null
Google,Retrieve alerts from Google Security Command Center,Google,19,null
Google,Track Google search trends using SerpApi and save to OneDrive,"Google, Microsoft, Microsoft OneDrive, SerpApi",10,Michael Tolan
Google,Respond to Google Drive public exposure alerts in Reco and secure files,"Google, Google Drive, Reco, Slack",46,null
Google,Monitor user activity in Google Drive,"Google, Google Drive",18,Christopher Toole
Google,Manage browser extension requests with Secure Annex,Google,7,John Tuckner
Google,Disable Google Accounts based on SpyCloud breaches,"Google, Jira Software, SpyCloud",19,SpyCloud
Google,Use ChatGPT for triaging with internal playbooks,"AWS, Google",32,Matt Houston
Google,Search Google Vault for user activity,Google,18,Matt Houston
Google,Synchronize Google Group email list with an AirTable database,"Airtable, Google",8,Conor Dunne
Google,Record IoCs in Google FireBase,"FireBase, Google",13,Conor Dunne
Google,Send Google Workspace security logs to LogScale,"Google, LogScale",6,null
CrowdStrike,Analyze CrowdStrike detections,"CrowdStrike, Jira Software, Slack, VirusTotal",13,null
CrowdStrike,Analyze and triage suspicious emails with various tools,"CrowdStrike, EmailRep, Jira Software, NextDNS, URLScan.io, VirusTotal",59,Michael Tolan
CrowdStrike,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
CrowdStrike,Respond to alerts from various tools with the AI Agent Action,"CrowdStrike, SentinelOne",13,Conor Dunne
CrowdStrike,EDgaR - the EDR audit and asset discovery utility,CrowdStrike,76,Tom Power
CrowdStrike,Run a CrowdStrike Real Time Response command,CrowdStrike,11,null
CrowdStrike,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
CrowdStrike,Fetch and record CrowdStrike Spotlight vulnerabilities with Jira,"Automox, CrowdStrike, Jira Software",26,null
CrowdStrike,"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
CrowdStrike,Analyze Crowdstrike detections and report in Jira and Microsoft Teams,"CrowdStrike, Jira Software, Microsoft, Microsoft Teams",12,null
CrowdStrike,Check CrowdStrike agent is installed on new devices provisioned,"CrowdStrike, Qualys, ServiceNow, Slack",18,Shaun Finn
CrowdStrike,Normalize alerts from multiple sources using ChatGPT,"CrowdStrike, Elastic, Lacework, OpenAI",16,null
CrowdStrike,Contain a registered device with CrowdStrike,"CrowdStrike, Jira Software, Slack",10,null
CrowdStrike,Use AI to create cases and act on CrowdStrike alerts,"CrowdStrike, Okta, PagerDuty, Zscaler",87,Conor Dunne
CrowdStrike,Kill an active process in CrowdStrike,CrowdStrike,21,Conor Dunne
CrowdStrike,Add CrowdStrike Spotlight vulnerability evidence to Drata,"CrowdStrike, Drata",16,null
CrowdStrike,Analyze and triage suspicious emails across tools and Tines cases,"CrowdStrike, EmailRep, Tines, URLScan.io, VirusTotal",65,Michael Tolan
CrowdStrike,Manage CrowdStrike IOCs in Slack,"CrowdStrike, Slack",38,null
CrowdStrike,Verify CrowdStrike is present on new devices in Jamf,"CrowdStrike, Jamf Pro, Slack",9,Conor Dunne
CrowdStrike,Retrieve files from devices in CrowdStrike,"CrowdStrike, VirusTotal",47,Conor Dunne
CrowdStrike,Check if host is active in CrowdStrike and take action,"CrowdStrike, Slack",14,null
CrowdStrike,Manage CrowdStrike detections using Pages,CrowdStrike,19,Conor Dunne
CrowdStrike,Block suspicious IPs by creating firewall rule groups with CrowdStrike,"CrowdStrike, Slack",17,null
CrowdStrike,Initiate CrowdStrike RTR memory dump,CrowdStrike,17,null
CrowdStrike,Close CrowdStrike detections when ServiceNow incidents are resolved,"CrowdStrike, ServiceNow",4,Conor Dunne
CrowdStrike,Generate a CrowdStrike RFM Report with AI,CrowdStrike,24,Tom Power
CrowdStrike,Enrich CrowdStrike incidents with VirusTotal & send to TheHive,"CrowdStrike, TheHive Project, VirusTotal",25,Conor Dunne
CrowdStrike,Export CrowdStrike detections to OneDrive as CSV,"CrowdStrike, Microsoft OneDrive",5,Michael Tolan
CrowdStrike,Examine a file in CrowdStrike FalconX Sandbox,CrowdStrike,15,null
CrowdStrike,Submit indicators of compromise to CrowdStrike's watchlist,CrowdStrike,53,null
CrowdStrike,Lookup a host in CrowdStrike,CrowdStrike,12,null
CrowdStrike,Retrieve a file from a CrowdStrike endpoint,CrowdStrike,24,Conor Dunne
CrowdStrike,Generate sample security alerts with Tines or Cortex XDR,"CrowdStrike, Palo Alto Networks",10,Conor Dunne
CrowdStrike,Enrich CrowdStrike detections with Active Directory and correlate in Jira tickets,"CrowdStrike, Jira Software, Microsoft, Microsoft Azure",24,null
CrowdStrike,Add device to group in CrowdStrike temporarily,CrowdStrike,15,null
CrowdStrike,Run forensics on an endpoint file in CrowdStrike,CrowdStrike,33,Conor Dunne
CrowdStrike,"Handle malware alerts with CrowdStrike, Oomnitza, GitHub, and PagerDuty","CrowdStrike, GitHub, PagerDuty, Slack",25,Lucas Cantor
CrowdStrike,Process CrowdStrike detections with Intezer,"CrowdStrike, Intezer Analyze, Jira Software, Slack",22,Aaron Sandow
CrowdStrike,Receive password breach alerts from SpyCloud and secure accounts,"CrowdStrike, Jira Software, Okta, SpyCloud",23,Conor Dunne
CrowdStrike,Manage IOCs in CrowdStrike Using Tines Pages,CrowdStrike,32,null
CrowdStrike,Manage endpoint quarantine status,CrowdStrike,16,Conor Dunne
CrowdStrike,Run a Real Time Response command in CrowdStrike,CrowdStrike,12,Conor Dunne
CrowdStrike,Enrich FalconLogScale (Humio) events with ChatGPT,"CrowdStrike, LogScale, OpenAI",3,@ionstorm
CrowdStrike,Respond to a CrowdStrike detection in ServiceNow,"CrowdStrike, VirusTotal",28,null
CrowdStrike,Search for IoCs in a network when a MISP attribute is created,"CrowdStrike, DataDog, MISP",15,Conor Dunne
CrowdStrike,"Investigate a URL with URLScan, create a ticket in Jira and take action","AbuseIPDB, CrowdStrike, Jira Software, NextDNS, Phish Report, URLScan.io",41,null
CrowdStrike,Find missing devices in CrowdStrike,CrowdStrike,10,Conor Dunne
CrowdStrike,Investigate and remediate malware with CrowdStrike FalconX and Microsoft Defender,"CrowdStrike, Jira Software, Microsoft Defender, Slack",34,null
CrowdStrike,"Process CrowdStrike detections, check hashes in VirusTotal, and create tickets in IRIS","CrowdStrike, IRIS, VirusTotal",16,Michael Tolan
CrowdStrike,Retrieve raw browser history artifacts from devices in CrowdStrike,CrowdStrike,70,Ahmad Aziz
CrowdStrike,Update CrowdStrike Real Time Response script from AWS S3,"AWS, CrowdStrike",7,null
CrowdStrike,Create or suspend role in CrowdStrike,CrowdStrike,13,null
CrowdStrike,Collect CPU and RAM usage on an endpoint with Tines and CrowdStrike,CrowdStrike,35,Conor Dunne
CrowdStrike,Export CrowdStrike detections to Google Cloud Storage as CSV,"CrowdStrike, Google Cloud Storage",6,Michael Tolan
CrowdStrike,Retrieve a directory from an endpoint using CrowdStrike and save to Google Drive,"CrowdStrike, Google, Google Drive",22,Conor Dunne
CrowdStrike,Query Censys for known Command & Control IPs add as IoCs in CrowdStrike,"Censys, CrowdStrike",16,Michael Tolan
CrowdStrike,Contain devices identified by CrowdStrike Falcon Overwatch,"CrowdStrike, Jira Software",17,Michael Tolan
CrowdStrike,Record and update affected Windows CrowdStrike host status using Smartsheet,"CrowdStrike, Smartsheet",18,Taylor Rainwater
CrowdStrike,Manage CrowdStrike IOC blocklist,CrowdStrike,45,Michael Tolan
CrowdStrike,Track vulnerabilities identified in CrowdStrike Spotlight with Tines cases,CrowdStrike,52,Sam Olson
CrowdStrike,Standardize and enrich EDR alerts across platforms,"CrowdStrike, Jira Software, Slack, VirusTotal",26,Shaun Finn
CrowdStrike,Crowdstrike Firewall Domain Blocking,CrowdStrike,10,Euan Dunsmore
CrowdStrike,Deploy Canarytoken using CrowdStrike RTR,"CrowdStrike, Slack, Thinkst Canary",7,Tyron Kemp
CrowdStrike,Retrieve CrowdStrike alerts and send to Falcon LogScale (Humio),CrowdStrike,8,null
CrowdStrike,Manage user accounts in CrowdStrike,CrowdStrike,18,John Peter Vasanth
CrowdStrike,Crowdstrike weekly host audit,CrowdStrike,13,Tom Power
CrowdStrike,"Analyze, document and triage suspicious emails with Tines cases and records","AlienVault OTX, Anomali ThreatStream, CrowdStrike, Hybrid Analysis, NextDNS, PassiveTotal, VirusTotal",113,Rosie Halpin
CrowdStrike,Create or update a custom Real Time Response script in CrowdStrike,CrowdStrike,8,null
Okta,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
Okta,Onboard new BambooHR starters using an agent,"BambooHR, Jira Software, Okta, Slack",7,Conor Dunne
Okta,Remove employee access from multiple services using the AI Agent Action,"Gmail, Okta, Slack",4,Conor Dunne
Okta,Restricting User Access and Patching Vulnerable Devices with Kandji,"Kandji, Okta, Slack, Tines",33,Megan Elsayed
Okta,Offboard user from Okta and Google using Pages and Records,"Gmail, Google, Okta",72,Lucas Cantor
Okta,"Synchronize MFA group memberships in Okta, Duo & Jira","Duo Security, Jira Service Management, Okta",62,Caleb Williams
Okta,Offboard employees using BambooHR,"BambooHR, Google, Okta, Slack",18,null
Okta,Grant temporary application access,"Jira Software, Okta, Slack, Tines",30,Shaun Finn
Okta,Add new employees to BambooHR and manage system access,"BambooHR, Google, Microsoft Azure, Okta, Slack",17,Michael Tolan
Okta,Send an Okta MFA challenge via a Tines page,"Okta, Slack",34,null
Okta,"Disable accounts in Google Workspace, GitHub, and Okta","GitHub, Google, Jira Software, Okta",23,Aaron Sandow
Okta,Correlate & alert on failed login attempts in Okta via Slack,"Okta, Slack",8,null
Okta,Use AI to create cases and act on CrowdStrike alerts,"CrowdStrike, Okta, PagerDuty, Zscaler",87,Conor Dunne
Okta,Enrich & remediate suspicious logins reported in Okta,"AbuseIPDB, Okta, Slack, VirusTotal",14,Derek Wohlfahrt
Okta,Add a user to Okta,Okta,10,null
Okta,Detect and Respond to Okta Impossible Travel Sign-ins with Slack and Tines Cases,"Okta, Slack",25,null
Okta,Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"BambooHR, Google, Microsoft, Microsoft Teams, Okta",11,null
Okta,Send an MFA push challenge to an Okta user on-demand,"Okta, Slack",11,null
Okta,Reset a user's password and active sessions in Okta,Okta,9,Michael Tolan
Okta,Report on inactive Okta accounts using Tines cases and deactivate,Okta,19,null
Okta,Approve user access to Okta or Office 365 using Pages,"Jira Software, Microsoft, Okta, Slack",44,null
Okta,Monitor application access changes in Okta,Okta,18,Michael Tolan
Okta,Verify a user using Slack and Okta verify,"Okta, Slack",27,null
Okta,Search Okta logs for user or IP activity,Okta,12,Michael Tolan
Okta,Enrich & remediate suspicious logins reported in Okta using Cases & Records,Okta,56,Sam Olson
Okta,Reset a user's password in Okta,Okta,8,Conor Dunne
